Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,71.686226,73.401550,71.293129,72.758301,44.373669,22853293
2010-01-08,72.186531,74.259209,70.042374,70.256790,42.848049,36409821
2010-01-15,69.756485,71.686226,68.755882,68.934563,42.041664,35890687
2010-01-22,68.469994,69.041771,66.468788,66.647461,40.646809,35350816
2010-01-29,66.147163,68.291313,65.432442,66.468788,40.537834,35723119
2010-02-05,64.681992,67.076294,63.788593,66.933350,40.821167,31974966
2010-02-12,66.826141,69.148979,66.504517,67.505127,41.169868,15044363
2010-02-19,66.790405,68.398521,65.110817,67.540863,41.191673,35654245
2010-02-26,67.969696,69.685013,67.576599,68.398521,41.714737,26225927
2010-03-05,69.148979,70.614151,68.148369,70.078110,42.739086,25648957
2010-03-12,70.399734,71.614754,69.184715,70.506943,43.000618,23418991
2010-03-19,71.328865,71.328865,69.470604,69.970901,42.673698,19368086
2010-03-26,70.506943,73.401550,70.185318,73.258606,44.678802,41178585
2010-04-02,0.714718,74.330681,0.714718,74.044800,45.158279,10971879
2010-04-09,73.758911,76.117477,73.758911,75.402763,45.986477,31019473
2010-04-16,74.330681,75.402763,70.471207,70.721359,43.131390,27600204
2010-04-23,70.721359,70.757095,69.077507,69.256187,42.237808,21049729
2010-04-30,69.542068,69.613541,65.539650,65.861275,40.167324,29728178
2010-05-07,65.253761,67.362183,64.610519,66.361580,40.472450,35077777
2010-05-14,66.182899,66.790405,63.109608,64.038742,39.055801,35001476
2010-05-21,63.324024,64.431839,60.786774,62.537834,39.462944,29110699
2010-05-28,63.609913,64.288895,62.359154,63.216816,39.891415,24486733
2010-06-04,63.002403,63.538441,61.108398,62.537834,39.462944,22249769
2010-06-11,64.431839,64.431839,63.038139,64.253159,40.545357,18205469
2010-06-18,64.681992,67.505127,64.145950,67.183502,42.394474,34431791
2010-06-25,66.754669,67.397919,64.396103,64.610519,40.770859,21710877
2010-07-02,64.396103,65.968483,64.396103,64.967873,40.996353,18077312
2010-07-09,65.539650,66.826141,65.253761,65.575386,41.379711,18931356
2010-07-16,65.253761,66.111427,64.145950,65.682594,41.447369,17175811
2010-07-23,66.433052,67.648071,65.932747,67.112030,42.349369,27639425
2010-07-30,67.183502,69.899429,66.611725,69.041771,43.567089,27460195
2010-08-06,70.042374,74.116264,69.220451,73.544495,46.408432,71304613
2010-08-13,73.044189,74.116264,70.256790,72.115059,45.506416,44696360
2010-08-20,71.471809,71.757698,69.041771,70.113846,44.243603,27753431
2010-08-27,70.221054,71.185921,69.291924,71.078712,44.852451,26691992
2010-09-03,71.328865,73.830383,70.685623,73.115662,46.137817,25106796
2010-09-10,73.187134,74.616570,72.186531,73.687439,46.498631,18956273
2010-09-17,74.116264,80.477257,73.758911,79.691071,50.633324,44576176
2010-09-24,80.548729,84.908508,79.691071,84.050850,53.403400,56869797
2010-10-01,84.122322,85.122925,81.906693,83.550545,53.085518,39357873
2010-10-08,83.622017,87.410027,81.120506,87.338554,55.492306,57349143
2010-10-15,87.195610,89.053879,84.551155,87.338554,55.492306,31891363
2010-10-22,86.409416,88.625046,84.050850,84.694099,53.812099,25899093
2010-10-29,85.122925,92.913353,84.050850,92.841881,58.988960,35394847
2010-11-05,94.557205,94.986038,90.054482,90.697731,57.626621,39097923
2010-11-12,90.054482,92.556000,85.837646,88.482101,56.218895,37358467
2010-11-19,87.481499,87.838860,79.476654,82.764359,52.585995,50223887
2010-11-26,82.549942,84.622627,80.262840,83.336128,52.949284,33078239
2010-12-03,83.907906,84.336739,80.763145,81.620811,51.859425,32989592
2010-12-10,80.620201,83.764961,80.620201,81.406395,51.723194,28038063
2010-12-17,80.763145,87.624443,80.763145,86.337952,54.856556,30557635
2010-12-24,86.552361,88.339157,83.693489,86.480888,54.947365,15744505
2010-12-31,87.124138,94.199844,85.194397,93.985435,59.715527,31439045
2011-01-07,93.127769,95.271927,92.055695,93.556602,59.443077,28569690
2011-01-14,93.556602,98.345215,93.342186,94.986038,60.351299,37725888
2011-01-21,94.914566,96.987251,94.628677,96.701363,61.441151,27185321
2011-01-28,95.772224,96.415474,90.769203,96.272530,61.168694,23452304
2011-02-04,96.272530,97.416077,85.766174,86.766777,55.129017,36024066
2011-02-11,87.052666,88.482101,83.622017,86.337952,54.856556,41386030
2011-02-18,85.408813,87.695915,83.193192,83.336128,52.949284,29482595
2011-02-25,83.550545,90.411842,83.550545,87.838860,55.810184,36574266
2011-03-04,89.697121,91.483917,87.838860,89.268295,56.718407,22512486
2011-03-11,87.910332,89.911537,82.907303,83.336128,52.949284,33486967
2011-03-18,83.622017,88.196213,82.978775,86.195007,54.765736,28298535
2011-03-25,87.195610,92.698936,86.337952,90.626259,57.581223,36281745
2011-04-01,91.483917,94.199844,90.268898,91.912750,58.398609,29715731
2011-04-08,91.555389,93.485130,90.054482,91.340973,58.035324,29964387
2011-04-15,90.769203,92.055695,88.267685,90.197426,57.308746,26355669
2011-04-22,90.197426,90.769203,87.910332,88.053268,55.946419,11963518
2011-04-29,87.338554,87.910332,84.265266,84.979980,53.993725,27540347
2011-05-06,83.622017,85.408813,82.264053,82.692886,52.540596,25409755
2011-05-13,83.479073,85.623230,81.549339,84.908508,55.542942,36591857
2011-05-20,85.122925,85.694702,82.478470,83.907906,54.888393,22268526
2011-05-27,84.336739,87.481499,83.979378,85.194397,55.729954,26594885
2011-06-03,85.408813,85.408813,82.192581,83.550545,54.654629,20782207
2011-06-10,83.622017,83.764961,80.763145,81.477867,53.298798,22204913
2011-06-17,81.549339,81.549339,77.046616,77.904274,50.961121,33230968
2011-06-24,77.475441,81.978165,77.475441,81.334923,53.205280,33143672
2011-07-01,81.334923,84.193794,81.334923,82.978775,54.280605,17573886
2011-07-08,83.622017,84.336739,79.047821,80.477257,52.644230,22218226
2011-07-15,80.477257,82.192581,78.618996,81.191978,53.111767,18272707
2011-07-22,82.478470,85.265869,81.692284,85.051453,55.636452,27466613
2011-07-29,85.051453,87.481499,84.408211,85.480286,55.916969,41470742
2011-08-05,79.691071,81.191978,71.114449,75.903061,49.652023,77667162
2011-08-12,76.188950,76.975143,73.687439,74.259209,48.576691,33687395
2011-08-19,71.471809,75.760117,71.185921,75.116875,49.137737,30800567
2011-08-26,74.973930,80.763145,73.330078,77.546913,50.727356,25994467
2011-09-02,76.975143,77.689857,71.364601,73.830383,48.296177,26873576
2011-09-09,73.758911,74.044800,67.719543,70.292526,45.981884,29754344
2011-09-16,71.114449,72.400948,63.788593,63.967270,42.159370,39127892
2011-09-23,63.609913,64.145950,59.893379,62.251949,41.028847,33990865
2011-09-30,62.216213,62.216213,56.534203,61.287079,40.392925,50476944
2011-10-07,61.287079,68.684410,61.501495,68.434258,45.103466,43836508
2011-10-14,67.826752,68.112633,63.073872,63.359760,41.758976,33543021
2011-10-21,62.895195,68.541466,62.895195,68.219841,44.962151,40269682
2011-10-28,70.042374,71.257393,65.432442,65.754066,43.337021,50965385
2011-11-04,67.898224,69.792221,65.396706,65.432442,43.125042,32458363
2011-11-11,66.468788,67.826752,63.574177,64.288895,42.371349,19554596
2011-11-18,63.574177,63.574177,59.321602,60.858246,40.110287,24158172
2011-11-25,59.464546,65.325233,59.428810,64.896408,42.771748,25961783
2011-12-02,65.539650,65.861275,63.502705,64.753464,42.677540,33444574
2011-12-09,63.181080,64.467575,62.180477,62.573570,41.240818,26385874
